"link";"phones";"emails";"error"
"vladlen37.ru";"";"elena@vladlen37.ru,847-71-31elena@vladlen37.ru";""
"постель.рф";"+7(495)640-98-87";"info@postelrf.com";""
"eltatex.ru";"+7 (4932) 46-04-02";"";""
"pledi-optom.ru";"+7 800 555-45-11";"";""
"postelka37.com";"8 (910) 686-86-87, 8(910) 692-06-91";"login@mail.com,postelka37@bk.ru";""
"текстильныйрай.рф";"";"textilerai@yandex.ru";""
"ivanovotextil.ru";"(495) 660 54 92, (495) 660-54-92, (915) 257-53-48";"info@ivanovotextil.ru";""
"opt.ros-decor.ru";"8 (800) 775-45-21";"sale@ros-decor.ru";""
"milanika.net";"(4932) 583-668";"znaktex@inbox.ru";""
"meloditex.ru";"8-800-200-87-44, 8 (4932) 59-15-44";"";""
"td-modex.ru";"+7 (343) 271 00 55";"td-modex@mail.ru";""
"texdom37.ru";"8 (964) 493-88-13";"";""
"damask-opt.ru";"";"damask-tex@yandex.ru";""
"serenadatex.ru";"8(905) 156-50-60";"elena.s75@bk.ru";""
"paters-shop.ru";"";"";""
"europetextiles.ru";"129-110-101 150, 8 (495) 787-05-32, 8 (903) 725-62-87, 8 (903) 725-58-52, 8(499) 951-17-30";"info@europetextiles.ru";""
"rastl.ru";"8-800-77-55-33-9";"";""
"helga.ru";"8(800)700-7303, 37-235-239-32";"";""
"photoshtori.ru";"";"";""
"rd-tex.com";"+7 (963)151-11-11";"mail@rd-tex.com.,rd-tex@mail.ru";""
"ivtexgroup.ru";"+7 930-345-20-06";"ivtexgroup@mail.ru";""
"vasylisa.ru";"+7 (495) 734-93-98";"";""
"paters.ru";"8 800 100 60 86";"";""
"ткани-дешево.рф";"+7 (926) 782-50-50";"";""
"odeyalaoptom.ru";"8-495-230-02-15, 8-929-939-59-34, 8-929-585-66-36, +7 (929) 939-59-34, +7 (929) 585-66-36";"alvitek@yandex.ru";""
"gaos-textile.ru";"";"";""
"jaferiline.com";"";"";""
"imperiatkani.ru";"8-800-250-88-29, 8543-054-0303520-";"";""
"корпорация-снов-оптом.рф";"8(800)505-10-86";"renat@mail.ru";""
"polotenca.net.ua";"(095) 435 02 50";"";""
"postel-deluxe.ru";"8 (800) 700-23-99";"info@postel-delux.ru";""
"levtex.ru";"8-902-316-14-46";"levtex@yandex.ru";""
"optom-kpb.ru";"+7 (920) 353-41-32";"almaz-textil@yandex.ru";""
"tdtextil.ru";"";"";""
"top3.ru";"(499) 165 66 45";"";""
"tex-t.ru";"+7 (910) 668-88-78, +7 (902) 315-77-88";"sales@tex-t.ru";""
"textile-city.ru";"8 (800) 555-20-71";"";""
"almok.ru";"8 (915) 823 88 39, (555) 555-55-55";"sale@almok.ru";""
"хлопковый-рай21.рф";"";"";""
"karnatextile.ru";"";"";""
"tkani-nitki.ru";"(3812) 775-775, +7-965-053-70-27";"tkani@omtexn.ru";""
